,comments
0,凡哥对不起
1,注入灵魂
2,1.25新世界
3,凡哥牛逼
4,根本停不下来
5,这里很好听
6,满意了 满意了 
7,凡哥能请吃面吗
8,满脑子都是这个旋律
9,1.5也很爽
10,注入灵魂
11,吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
12,6666666666666666666666666666666666666
13,电满了
14,1.25
15,对不起
16,虽然气度有了，但是实力还有待提高
17,哈哈哈哈哈哈哈哈笑死我了
18,单曲循环
19,凡哥对不起
20,凡哥对不起
21,中毒了，每天听一遍
22,有啥可对不起的
23,666666666666666666666
24,你们做了什么伤天害理的事
25,1.25真的好听
26,好听哈哈哈哈哈
27,想淘宝出周边
28,这些动画形象都很好看
29,不是，是好可爱
30,那个五角星的荷包蛋
31,800万助攻
32,戴眼镜的胡萝卜
33,我擦，这个金子
34,真腻可爱
35,鸽子筷子架
36,凡哥对不起
37,越听越上头
38,凡哥牛皮！
39,雷神凡！！淀粉去看看《6》
40,上头了
41,1.25不错啊
42,好听
43,凡凡真男人哈哈
44,哈哈哈哈哈哈
45,以前是路人，现在粉凡凡
46,凡哥对不起
47,66666666666666
48,太棒啦
49,这一句真的神了
50,凡哥对不起
51,好听
52,真的好听啊
53,这其实是一碗鸡汤面
54,1.25刺激
55,凡哥对不起
56,凡哥真爷们
57,人生第一条弹幕送给哥哥～
58,动画好可爱啊
59,给你们说吴亦凡吃面从来不分开筷子
60,一天不听面都吃不下去
61,凡哥对不起
62,这是鸡汤面吧?
63,凡哥nb
64,鸡汤面?
65,对不起 凡哥
66,太可爱了呐，转粉
67,skr
68,好听
69,1.25巨好听
70,这个面
71,1.25炒鸡好听
72,你看这个面它又长又宽，就像这个碗它又大又圆
73,1.25超级好听
74,你看这碗又大又圆
75,你看这面又长又宽
76,吴亦凡 还行啊 电鳗也比鸡强啊
77,这碗大～
78,真心话～
79,对不起！凡哥
80,1.25真的好听
81,好听～
82,好听哎～
83,1.25很不错呢
84,小玩～小玩笑～
85,无线循环
86,凡哥对不起
87,1.25我爱了
88,吴亦凡对不去
89,快乐才是真谛
90,你看这碗又大又圆
91,你看这面又长又宽
92,前方高能
93,前方高能
94,围鲲救鳗
95,你看这个碗他又大又圆
96,你看这个面他又长又宽，就像这个碗它又大又圆
97,你看这个面他又长又宽，就像这个碗它又大又圆
98,你看这个碗他又大又圆你看这个面他又长又宽
99,凡哥 对不起
100,网易没1.25倍速跑这里听
101,你看这个面他又长又宽，就像这个碗它又大又圆
102,你看这个面他又长又宽，就像这个碗它又大又圆
103,吴亦凡对不起
104,你看这个面它又长又宽，就像这个碗他又大又圆
105,前方高能预警!
106,对不起，我凡凡哥哥
107,前方高能预警
108,×1.5也很好听
109,好听！！
110,都不记得正常速度是什么样的了
111,凡哥牛批
112,你看这碗又大又圆
113,你看这个面它又长又宽就像这个碗它又大又圆
114,你看这个面它又长又宽就像这个碗它又大又圆
115,你看这个面它又长又宽就像这个碗它又大又圆
116,你看这个面它又长又宽就像这个碗它又大又圆
117,@蔡徐坤进来挨打
118,面条好魔性阿hhhhhhhhhh(●'◡'●)ﾉ❤
119,hhhhhhhhhhhhhhh(´ڡ`嗝)
120,还是有电音，看来凡凡也知道这是硬伤2333
121,1.25倍超级好听
122,请用1.25倍速
123,请用1.25倍速
124,请用1.25倍速
125,1.25神仙倍速
126,凡哥对不起QAQ
127,这万达
128,1.25神仙倍速
129,又来了  弹幕都没有了吗
130,路转粉
131,好听
132,6666666
133,吴亦凡，对不起
134,788.8万，离888.8不远了
135,788.8
136,66666666666666
137,凡哥666
138,凡凡心真宽
139,正确打开方式为1.25
140,凡哥牛逼 大碗面听了上头
141,800W冲啊
142,还挺好听 
143,这段挺真实的
144,凡哥真男人，凡哥对不起
145,诶诶？！对不起什么鸭好听鸭
146,好听洗脑了
147,凡哥对不起
148,无敌
149,背影好可怜
150,吳冠儀 我愛你
151,666
152,再来亿遍
153,800w助攻
154,凡哥对不起
155,凡哥对不起！！！！！
156,你看这个面它又长又宽，就像这个碗它又大又圆
157,你们来这里吃饭，很开心
158,凡哥对不起
159,哈哈哈哈哈哈哈
160,凡哥，对不起
161,这是扛了个电鳗么？哈哈哈哈
162,对不起 ！！！！！亦凡哥！！！！！
163,800w助攻
164,好好听
165,凡哥对不起
166,老吴，对不起
167,快八百万了
168,800W助攻
169,1000万预定
170,有种市井之气。贴近生活喜欢
171,爱凡凡
172,天啊 上脑
173,停不下来啊
174,凡哥对不起
175,1000万冲鸭
176,凡哥，对不起
177,很好听啊，，，
178,真香
179,听的饿了啊....
180,一千万助攻
181,800w快了
182,凡哥对不起
183,吴亦凡，对不起
184,额
185,再来亿遍
186,我已经会唱了
187,是的
188,凡哥有牌面！
189,大
190,筷子要分开
191,。。
192,我哭了 ，泥萌呢？
193,前方核能
194,丹哥对不住了
195,是很厉害好吗？演唱会进去就出不来
196,窝外拓
197,隔壁演唱会太high耳机开到最大转到这里来突然吓一跳！
198,789万
199,哈哈哈哈，有趣有趣
200,窝外拓
201,对不起，亦凡哥！！。
202,对不起，亦凡哥！！
203,爱了爱了 转粉
204,对不起 吴亦凡
205,听了好多遍，真的很好听
206,每日一刷
207,好听
208,他什么都没有做错
209,是真喜欢这段
210,好听的
211,动画好可爱～
212,你看这面又长又宽
213,作为粉丝听到这句我这一生漂泊四海看淡了今朝泪目
214,二倍速试试，
215,吴亦凡对不起
216,1.25真的卧槽了
217,他只不过发首歌给演唱会造势 还营销 他要有营销早八百年不会被黑成这样
218,顶级流量
219,黑转灰
220,这是鱼。。。
221,哔哩哔哩[]~(￣▽￣)~*
222,对捂住！亦凡哥！
223,1.25流弊了！！！！！
224,神特么营销 他有过这东西吗
225,1.25流弊啊！！！完全是rap大神的感觉！
226,冲鸭
227,再来一遍
228,吴亦凡对不起！
229,亦凡哥！对捂住！
230,老板大气
231,对不起＞人＜
232,这歌，真香…
233,你看着碗又大又圆
234,你看着碗又大又圆
235,我跪下来求你们移步隔壁演唱会宝宝站饭拍！！！
236,吴亦凡对不起
237,OK
238,悲欢离合呀！这尼玛太好听了
239,黑转粉
240,完了 我觉得好听 怎么办
241,前方高能
242,凡哥对不起！
243,凡哥对不起
244,完了 我沉沦了
245,厉害了
246,什么逻辑 觉得自己差才用电音？国外大把实力歌手用autotune你意思是他们实力都很差咯
247,说实力的移步隔壁演唱会谢谢
248,凡哥对不起
249,这面 真香
250,凡哥我错了
251,今天的我来了
252,周三下午
253,51对不起
254,各位好汉，吃面了
255,为了个评论，我费了好大劲考试
256,凡哥对不起
257,散了吧！
258,挂无暇
259,开个小玩笑
260,没人能够把你定义
261,笑傲江湖，只身闯江湖
262,吴亦凡我错了
263,1.25 真心推介
264,b站名场面
265,1。25出不去了
266,1.25
267,1.25是真的还不错
268,凡哥对不起
269,快八百万播放了！凡哥牛
270,想知道这是不是b站最快破五百万的？
271,凡哥真男人
272,对不起，我错了orz
273,前方核能！！！！！
274,你看这个面它又长又宽，就像这个碗它又大又圆
275,1.25能听
276,你看这个面它又长又宽，就像这个碗它又大又圆
277,路人感觉吴亦凡真棒！！！
278,你看这个面它又长又宽，就像这个碗它又大又圆
279,你看这个面它又长又宽，就像这个碗它又大又圆
280,你看这个面它又长又宽，就像这个碗它又大又圆
281,你看这个面它又长又宽，就像这个碗它又大又圆
282,这歌真的上头
283,你看这个面它又长又宽，就像这个碗它又大又圆
284,你看这个面它又长又宽，就像这个碗它又大又圆
285,真男人啊
286,凡哥对不起
287,你看这个面它又长又宽，就像这个碗它又大又圆
288,灵魂注入
289,你看这个面它又长又宽，就像这个碗它又大又圆
290,你看这个面它又长又宽，就像这个碗它又大又圆
291,你看这个面它又长又宽，就像这个碗它又大又圆
292,你看这个面它又长又宽，就像这个碗它又大又圆
293,你看这个面它又长又宽，就像这个碗它又大又圆
294,你看这个面它又长又宽，就像这个碗它又大又圆
295,你看这个面它又长又宽，就像这个碗它又大又圆
296,你看这个面它又长又宽，就像这个碗它又大又圆
297,你看这个面它又长又宽，就像这个碗它又大又圆
298,你看这个面它又长又宽，就像这个碗它又大又圆
299,你看这个面它又长又宽，就像这个碗它又大又圆
300,凡哥对不起，我错了！
301,你看这个面它又长又宽，就像这个碗它又大又圆
302,6666666666666
