longitude,latitude,aver_price,latlon
116.409688,39.958188,226.7,"116.409688,39.958188"
116.410078,39.96471,240.0,"116.410078,39.96471"
116.411359,39.964549,233.3,"116.411359,39.964549"
116.413584,39.968217,236.7,"116.413584,39.968217"
116.413053,39.962564,176.7,"116.413053,39.962564"
116.400533,39.962226,200.0,"116.400533,39.962226"
116.417991,39.956806,233.3,"116.417991,39.956806"
116.400524,39.958938,233.3,"116.400524,39.958938"
116.394978,39.963326,189.3,"116.394978,39.963326"
116.400533,39.962226,250.0,"116.400533,39.962226"
116.417991,39.956806,216.7,"116.417991,39.956806"
116.400524,39.958938,226.7,"116.400524,39.958938"
116.413584,39.968217,210.0,"116.413584,39.968217"
116.417991,39.956806,250.0,"116.417991,39.956806"
116.416922,39.951931,216.7,"116.416922,39.951931"
116.41696,39.953572,250.0,"116.41696,39.953572"
116.413584,39.968217,206.7,"116.413584,39.968217"
116.416916,39.952631,196.7,"116.416916,39.952631"
116.408775,39.95471,150.0,"116.408775,39.95471"
116.417991,39.956806,206.7,"116.417991,39.956806"
116.404579,39.978491,206.7,"116.404579,39.978491"
116.418876,39.968393,183.3,"116.418876,39.968393"
116.414432,39.977111,233.3,"116.414432,39.977111"
116.402242,39.973402,193.3,"116.402242,39.973402"
116.41186,39.978148,216.7,"116.41186,39.978148"
116.404579,39.978491,243.3,"116.404579,39.978491"
116.404579,39.978491,183.3,"116.404579,39.978491"
116.414549,39.97239,210.0,"116.414549,39.97239"
116.421864,39.970675,200.0,"116.421864,39.970675"
116.416187,39.969551,226.7,"116.416187,39.969551"
116.402242,39.973402,240.0,"116.402242,39.973402"
116.423188,39.969902,113.3,"116.423188,39.969902"
116.404579,39.978491,250.0,"116.404579,39.978491"
116.404579,39.978491,250.0,"116.404579,39.978491"
116.404579,39.978491,206.7,"116.404579,39.978491"
116.402242,39.973402,193.3,"116.402242,39.973402"
116.402242,39.973402,186.7,"116.402242,39.973402"
116.411554,39.971886,216.7,"116.411554,39.971886"
116.414549,39.97239,196.7,"116.414549,39.97239"
116.402242,39.973402,206.7,"116.402242,39.973402"
116.416187,39.969551,233.3,"116.416187,39.969551"
116.402242,39.973402,246.7,"116.402242,39.973402"
116.404579,39.978491,243.3,"116.404579,39.978491"
116.404579,39.978491,233.3,"116.404579,39.978491"
116.411554,39.971886,200.0,"116.411554,39.971886"
116.416187,39.969551,226.7,"116.416187,39.969551"
116.416187,39.969551,200.0,"116.416187,39.969551"
116.411554,39.971886,210.0,"116.411554,39.971886"
116.41186,39.978148,210.0,"116.41186,39.978148"
116.411554,39.971886,216.7,"116.411554,39.971886"
116.411554,39.971886,236.7,"116.411554,39.971886"
116.41186,39.978148,196.7,"116.41186,39.978148"
116.404579,39.978491,216.7,"116.404579,39.978491"
116.404579,39.978491,250.0,"116.404579,39.978491"
116.402242,39.973402,226.7,"116.402242,39.973402"
116.404579,39.978491,240.0,"116.404579,39.978491"
116.402242,39.973402,243.3,"116.402242,39.973402"
116.411554,39.971886,213.3,"116.411554,39.971886"
116.404579,39.978491,243.3,"116.404579,39.978491"
116.404579,39.978491,206.7,"116.404579,39.978491"
116.402242,39.973402,200.0,"116.402242,39.973402"
116.402242,39.973402,233.3,"116.402242,39.973402"
116.41186,39.978148,243.3,"116.41186,39.978148"
116.404579,39.978491,233.3,"116.404579,39.978491"
116.41545,39.97708,216.7,"116.41545,39.97708"
116.402242,39.973402,230.0,"116.402242,39.973402"
116.420803,39.969446,236.7,"116.420803,39.969446"
116.423188,39.969902,226.7,"116.423188,39.969902"
116.41186,39.978148,210.0,"116.41186,39.978148"
116.411554,39.971886,226.7,"116.411554,39.971886"
116.411554,39.971886,233.3,"116.411554,39.971886"
116.411554,39.971886,250.0,"116.411554,39.971886"
116.402242,39.973402,240.0,"116.402242,39.973402"
116.411554,39.971886,250.0,"116.411554,39.971886"
116.402242,39.973402,226.7,"116.402242,39.973402"
116.404579,39.978491,226.7,"116.404579,39.978491"
116.404579,39.978491,250.0,"116.404579,39.978491"
116.417993,39.970747,166.6,"116.417993,39.970747"
116.42013,39.969341,250.0,"116.42013,39.969341"
116.402242,39.973402,216.7,"116.402242,39.973402"
116.411554,39.971886,250.0,"116.411554,39.971886"
116.41186,39.978148,233.3,"116.41186,39.978148"
116.411554,39.971886,243.3,"116.411554,39.971886"
116.41186,39.978148,250.0,"116.41186,39.978148"
116.417993,39.970747,186.7,"116.417993,39.970747"
116.402242,39.973402,216.7,"116.402242,39.973402"
116.411554,39.971886,250.0,"116.411554,39.971886"
116.416542,39.978153,190.0,"116.416542,39.978153"
116.402242,39.973402,226.7,"116.402242,39.973402"
116.411554,39.971886,226.7,"116.411554,39.971886"
116.41186,39.978148,233.3,"116.41186,39.978148"
116.414432,39.977111,220.0,"116.414432,39.977111"
116.402242,39.973402,226.7,"116.402242,39.973402"
116.442322,39.922354,243.3,"116.442322,39.922354"
116.447036,39.925147,246.7,"116.447036,39.925147"
116.456398,39.923681,250.0,"116.456398,39.923681"
116.445381,39.92346,216.7,"116.445381,39.92346"
116.451019,39.927669,226.7,"116.451019,39.927669"
116.44957,39.926007,233.3,"116.44957,39.926007"
116.445445,39.93257,216.7,"116.445445,39.93257"
116.453322,39.925733,183.3,"116.453322,39.925733"
116.444278,39.938213,216.7,"116.444278,39.938213"
116.453322,39.925733,226.7,"116.453322,39.925733"
116.455822,39.922941,233.0,"116.455822,39.922941"
116.453322,39.925733,250.0,"116.453322,39.925733"
116.456398,39.923681,196.7,"116.456398,39.923681"
116.445284,39.925343,233.3,"116.445284,39.925343"
116.445284,39.925343,200.0,"116.445284,39.925343"
116.445284,39.925343,233.3,"116.445284,39.925343"
116.445284,39.925343,216.7,"116.445284,39.925343"
116.442322,39.922354,210.0,"116.442322,39.922354"
116.455796,39.926346,243.3,"116.455796,39.926346"
116.453322,39.925733,216.7,"116.453322,39.925733"
116.444278,39.938213,216.7,"116.444278,39.938213"
116.456398,39.923681,226.7,"116.456398,39.923681"
116.445284,39.925343,240.0,"116.445284,39.925343"
116.435822,39.933006,216.7,"116.435822,39.933006"
116.436546,39.923255,246.7,"116.436546,39.923255"
116.435845,39.922998,226.7,"116.435845,39.922998"
116.435758,39.930641,200.0,"116.435758,39.930641"
116.436797,39.924023,86.7,"116.436797,39.924023"
116.435822,39.933006,210.0,"116.435822,39.933006"
116.435822,39.933006,216.7,"116.435822,39.933006"
116.435822,39.933006,193.3,"116.435822,39.933006"
116.437847,39.933684,250.0,"116.437847,39.933684"
116.432142,39.902354,200.0,"116.432142,39.902354"
116.431111,39.892729,200.0,"116.431111,39.892729"
116.428467,39.902511,240.0,"116.428467,39.902511"
116.429768,39.898926,206.7,"116.429768,39.898926"
116.428467,39.902511,243.3,"116.428467,39.902511"
116.432142,39.902354,250.0,"116.432142,39.902354"
116.429768,39.898926,216.7,"116.429768,39.898926"
116.420099,39.901616,186.7,"116.420099,39.901616"
116.412489,39.906815,210.0,"116.412489,39.906815"
116.420099,39.901616,250.0,"116.420099,39.901616"
116.432142,39.902354,233.3,"116.432142,39.902354"
116.428467,39.902511,233.3,"116.428467,39.902511"
116.429908,39.893326,216.7,"116.429908,39.893326"
116.429352,39.904538,233.3,"116.429352,39.904538"
116.403926,39.901229,200.0,"116.403926,39.901229"
116.412489,39.906815,250.0,"116.412489,39.906815"
116.403926,39.901229,200.0,"116.403926,39.901229"
116.403926,39.901229,200.0,"116.403926,39.901229"
116.403926,39.901229,200.0,"116.403926,39.901229"
116.403926,39.901229,200.0,"116.403926,39.901229"
116.412489,39.906815,196.7,"116.412489,39.906815"
116.429768,39.898926,206.7,"116.429768,39.898926"
116.432142,39.902354,206.7,"116.432142,39.902354"
116.431111,39.892729,163.3,"116.431111,39.892729"
116.432142,39.902354,186.7,"116.432142,39.902354"
116.411331,39.92122,233.3,"116.411331,39.92122"
116.448231,39.947027,206.7,"116.448231,39.947027"
116.425446,39.954872,233.3,"116.425446,39.954872"
116.448231,39.947027,216.7,"116.448231,39.947027"
116.446448,39.948327,206.7,"116.446448,39.948327"
116.448231,39.947027,210.0,"116.448231,39.947027"
116.427102,39.947954,240.0,"116.427102,39.947954"
116.441581,39.953001,250.0,"116.441581,39.953001"
116.450277,39.950513,233.3,"116.450277,39.950513"
116.441446,39.943621,226.7,"116.441446,39.943621"
116.450277,39.950513,216.7,"116.450277,39.950513"
116.441446,39.943621,250.0,"116.441446,39.943621"
116.450277,39.950513,233.3,"116.450277,39.950513"
116.432763,39.953152,250.0,"116.432763,39.953152"
116.452957,39.95468,200.0,"116.452957,39.95468"
116.426265,39.949747,200.0,"116.426265,39.949747"
116.435055,39.941656,250.0,"116.435055,39.941656"
116.452957,39.95468,220.0,"116.452957,39.95468"
116.448231,39.947027,226.7,"116.448231,39.947027"
116.448231,39.947027,216.7,"116.448231,39.947027"
116.443651,39.943051,206.7,"116.443651,39.943051"
116.434147,39.953592,250.0,"116.434147,39.953592"
116.450277,39.950513,233.3,"116.450277,39.950513"
116.424513,39.954148,233.3,"116.424513,39.954148"
116.450277,39.950513,216.7,"116.450277,39.950513"
116.443651,39.943051,206.7,"116.443651,39.943051"
116.448231,39.947027,250.0,"116.448231,39.947027"
116.441564,39.950319,200.0,"116.441564,39.950319"
116.435413,39.946591,250.0,"116.435413,39.946591"
116.444345,39.945375,206.7,"116.444345,39.945375"
116.427215,39.951271,93.3,"116.427215,39.951271"
116.429919,39.950424,216.7,"116.429919,39.950424"
116.427218,39.951418,216.7,"116.427218,39.951418"
116.425446,39.954872,183.3,"116.425446,39.954872"
116.450277,39.950513,250.0,"116.450277,39.950513"
116.448231,39.947027,210.0,"116.448231,39.947027"
116.452957,39.95468,216.7,"116.452957,39.95468"
116.441446,39.943621,216.7,"116.441446,39.943621"
116.413443,39.947734,233.3,"116.413443,39.947734"
116.388625,39.943618,183.3,"116.388625,39.943618"
116.394684,39.945267,200.0,"116.394684,39.945267"
116.410665,39.947165,36.7,"116.410665,39.947165"
116.414075,39.943303,93.3,"116.414075,39.943303"
116.394586,39.940336,76.7,"116.394586,39.940336"
116.441193,39.900437,233.3,"116.441193,39.900437"
116.446847,39.904164,226.7,"116.446847,39.904164"
116.435879,39.901966,226.7,"116.435879,39.901966"
116.443438,39.905088,250.0,"116.443438,39.905088"
116.443702,39.900208,240.0,"116.443702,39.900208"
116.439746,39.905443,183.3,"116.439746,39.905443"
116.439746,39.905443,166.7,"116.439746,39.905443"
116.443979,39.903297,200.0,"116.443979,39.903297"
116.438785,39.900278,200.0,"116.438785,39.900278"
116.435879,39.901966,233.3,"116.435879,39.901966"
116.435879,39.901966,233.3,"116.435879,39.901966"
116.435879,39.901966,226.7,"116.435879,39.901966"
116.443979,39.903297,160.0,"116.443979,39.903297"
116.443702,39.900208,200.0,"116.443702,39.900208"
116.443702,39.900208,190.0,"116.443702,39.900208"
116.438785,39.900278,180.0,"116.438785,39.900278"
116.443702,39.900208,240.0,"116.443702,39.900208"
116.437896,39.901842,216.7,"116.437896,39.901842"
116.441193,39.900437,226.7,"116.441193,39.900437"
116.426899,39.943332,116.7,"116.426899,39.943332"
116.409673,39.936127,150.0,"116.409673,39.936127"
116.429248,39.940483,150.0,"116.429248,39.940483"
116.427663,39.932824,200.0,"116.427663,39.932824"
116.42174,39.936235,206.7,"116.42174,39.936235"
116.413556,39.931842,246.7,"116.413556,39.931842"
116.427927,39.945023,150.0,"116.427927,39.945023"
116.417338,39.939479,123.3,"116.417338,39.939479"
116.421432,39.931356,86.7,"116.421432,39.931356"
116.426596,39.944239,183.3,"116.426596,39.944239"
116.417338,39.939479,120.0,"116.417338,39.939479"
116.417338,39.939479,190.0,"116.417338,39.939479"
116.417338,39.939479,200.0,"116.417338,39.939479"
116.429248,39.940483,76.7,"116.429248,39.940483"
116.418058,39.939352,106.7,"116.418058,39.939352"
116.405758,39.936279,93.3,"116.405758,39.936279"
116.4256,39.937638,166.7,"116.4256,39.937638"
116.426899,39.943332,150.0,"116.426899,39.943332"
116.416136,39.926419,206.7,"116.416136,39.926419"
116.412462,39.927297,216.7,"116.412462,39.927297"
116.414359,39.924443,220.0,"116.414359,39.924443"
116.414359,39.924443,226.7,"116.414359,39.924443"
116.413948,39.923068,216.7,"116.413948,39.923068"
116.414033,39.926412,200.0,"116.414033,39.926412"
116.455654,39.898084,216.7,"116.455654,39.898084"
116.448361,39.898946,226.7,"116.448361,39.898946"
116.445042,39.894679,196.7,"116.445042,39.894679"
116.448783,39.894213,183.3,"116.448783,39.894213"
116.442531,39.89667,233.3,"116.442531,39.89667"
116.443376,39.899224,183.3,"116.443376,39.899224"
116.448876,39.901694,233.3,"116.448876,39.901694"
116.442531,39.89667,233.3,"116.442531,39.89667"
116.438842,39.89084,193.3,"116.438842,39.89084"
116.440067,39.895564,216.7,"116.440067,39.895564"
116.442531,39.89667,226.7,"116.442531,39.89667"
116.45208,39.904622,206.7,"116.45208,39.904622"
116.452323,39.900479,250.0,"116.452323,39.900479"
116.448876,39.901694,243.3,"116.448876,39.901694"
116.447756,39.896508,206.7,"116.447756,39.896508"
116.451993,39.896532,216.7,"116.451993,39.896532"
116.45208,39.904622,213.3,"116.45208,39.904622"
116.448783,39.894213,183.3,"116.448783,39.894213"
116.453086,39.898397,240.0,"116.453086,39.898397"
116.445042,39.894679,160.0,"116.445042,39.894679"
116.448477,39.890787,200.0,"116.448477,39.890787"
116.45208,39.904622,233.3,"116.45208,39.904622"
116.451993,39.896532,206.7,"116.451993,39.896532"
116.448876,39.901694,200.0,"116.448876,39.901694"
116.443376,39.899224,180.0,"116.443376,39.899224"
116.442531,39.89667,166.7,"116.442531,39.89667"
116.453086,39.898397,240.0,"116.453086,39.898397"
116.442531,39.89667,226.7,"116.442531,39.89667"
116.448316,39.900192,223.3,"116.448316,39.900192"
116.448361,39.898946,226.7,"116.448361,39.898946"
116.4515,39.904606,250.0,"116.4515,39.904606"
116.455654,39.898084,226.7,"116.455654,39.898084"
