longitude,latitude,aver_price,latlon
113.404226,23.159301,19.3,"113.404226,23.159301"
113.390131,23.168577,55.0,"113.390131,23.168577"
113.384467,23.169549,26.7,"113.384467,23.169549"
113.386056,23.168541,21.7,"113.386056,23.168541"
113.391421,23.171056,38.3,"113.391421,23.171056"
113.388961,23.169043,50.0,"113.388961,23.169043"
113.404064,23.160232,19.3,"113.404064,23.160232"
113.390131,23.168577,13.8,"113.390131,23.168577"
113.390131,23.168577,60.0,"113.390131,23.168577"
113.390131,23.168577,76.7,"113.390131,23.168577"
113.384029,23.168159,32.7,"113.384029,23.168159"
113.386056,23.168541,26.0,"113.386056,23.168541"
113.387968,23.170428,36.7,"113.387968,23.170428"
113.388473,23.170954,30.0,"113.388473,23.170954"
113.384467,23.169549,19.2,"113.384467,23.169549"
113.384467,23.169549,38.0,"113.384467,23.169549"
113.389246,23.170795,48.3,"113.389246,23.170795"
113.386056,23.168541,14.7,"113.386056,23.168541"
113.386056,23.168541,14.3,"113.386056,23.168541"
113.384467,23.169549,16.7,"113.384467,23.169549"
113.391421,23.171056,25.0,"113.391421,23.171056"
113.391421,23.171056,30.0,"113.391421,23.171056"
113.385199,23.177817,160.0,"113.385199,23.177817"
113.388961,23.169043,40.0,"113.388961,23.169043"
113.388961,23.169043,61.7,"113.388961,23.169043"
113.389334,23.167927,22.5,"113.389334,23.167927"
113.389334,23.167927,25.0,"113.389334,23.167927"
113.386056,23.168541,18.3,"113.386056,23.168541"
113.390131,23.168577,21.7,"113.390131,23.168577"
113.390131,23.168577,33.3,"113.390131,23.168577"
113.392536,23.16867,38.3,"113.392536,23.16867"
113.384029,23.168159,15.0,"113.384029,23.168159"
113.386056,23.168541,31.7,"113.386056,23.168541"
113.391074,23.167802,19.3,"113.391074,23.167802"
113.391074,23.167802,18.3,"113.391074,23.167802"
113.391421,23.171056,15.0,"113.391421,23.171056"
113.389334,23.167927,39.2,"113.389334,23.167927"
113.389246,23.170795,23.3,"113.389246,23.170795"
113.389246,23.170795,15.8,"113.389246,23.170795"
113.386056,23.168541,23.3,"113.386056,23.168541"
113.386056,23.168541,15.0,"113.386056,23.168541"
113.387968,23.170428,40.0,"113.387968,23.170428"
113.385059,23.173436,21.7,"113.385059,23.173436"
113.391421,23.171056,23.3,"113.391421,23.171056"
113.385059,23.173436,16.7,"113.385059,23.173436"
113.384622,23.175031,150.0,"113.384622,23.175031"
113.384828,23.170822,16.7,"113.384828,23.170822"
113.386085,23.171201,82.7,"113.386085,23.171201"
113.381447,23.175756,116.7,"113.381447,23.175756"
113.388961,23.169043,43.3,"113.388961,23.169043"
113.384622,23.175031,153.3,"113.384622,23.175031"
113.385732,23.172568,166.7,"113.385732,23.172568"
113.387968,23.170428,40.0,"113.387968,23.170428"
113.387968,23.170428,36.7,"113.387968,23.170428"
113.387968,23.170428,38.3,"113.387968,23.170428"
113.404239,23.159646,16.7,"113.404239,23.159646"
