longitude,latitude,dist,latlon
113.404226,23.159301,天河,"113.404226,23.159301"
113.390131,23.168577,天河,"113.390131,23.168577"
113.384467,23.169549,天河,"113.384467,23.169549"
113.386056,23.168541,天河,"113.386056,23.168541"
113.391421,23.171056,天河,"113.391421,23.171056"
113.388961,23.169043,天河,"113.388961,23.169043"
113.404064,23.160232,天河,"113.404064,23.160232"
113.390131,23.168577,天河,"113.390131,23.168577"
113.390131,23.168577,天河,"113.390131,23.168577"
113.390131,23.168577,天河,"113.390131,23.168577"
113.384029,23.168159,天河,"113.384029,23.168159"
113.386056,23.168541,天河,"113.386056,23.168541"
113.387968,23.170428,天河,"113.387968,23.170428"
113.388473,23.170954,天河,"113.388473,23.170954"
113.384467,23.169549,天河,"113.384467,23.169549"
113.384467,23.169549,天河,"113.384467,23.169549"
113.389246,23.170795,天河,"113.389246,23.170795"
113.386056,23.168541,天河,"113.386056,23.168541"
113.386056,23.168541,天河,"113.386056,23.168541"
113.384467,23.169549,天河,"113.384467,23.169549"
113.391421,23.171056,天河,"113.391421,23.171056"
113.391421,23.171056,天河,"113.391421,23.171056"
113.385199,23.177817,天河,"113.385199,23.177817"
113.388961,23.169043,天河,"113.388961,23.169043"
113.388961,23.169043,天河,"113.388961,23.169043"
113.389334,23.167927,天河,"113.389334,23.167927"
113.389334,23.167927,天河,"113.389334,23.167927"
113.386056,23.168541,天河,"113.386056,23.168541"
113.390131,23.168577,天河,"113.390131,23.168577"
113.390131,23.168577,天河,"113.390131,23.168577"
113.392536,23.16867,天河,"113.392536,23.16867"
113.384029,23.168159,天河,"113.384029,23.168159"
113.386056,23.168541,天河,"113.386056,23.168541"
113.391074,23.167802,天河,"113.391074,23.167802"
113.391074,23.167802,天河,"113.391074,23.167802"
113.391421,23.171056,天河,"113.391421,23.171056"
113.389334,23.167927,天河,"113.389334,23.167927"
113.389246,23.170795,天河,"113.389246,23.170795"
113.389246,23.170795,天河,"113.389246,23.170795"
113.386056,23.168541,天河,"113.386056,23.168541"
113.386056,23.168541,天河,"113.386056,23.168541"
113.387968,23.170428,天河,"113.387968,23.170428"
113.385059,23.173436,天河,"113.385059,23.173436"
113.391421,23.171056,天河,"113.391421,23.171056"
113.385059,23.173436,天河,"113.385059,23.173436"
113.384622,23.175031,天河,"113.384622,23.175031"
113.384828,23.170822,天河,"113.384828,23.170822"
113.386085,23.171201,天河,"113.386085,23.171201"
113.381447,23.175756,天河,"113.381447,23.175756"
113.388961,23.169043,天河,"113.388961,23.169043"
113.384622,23.175031,天河,"113.384622,23.175031"
113.385732,23.172568,天河,"113.385732,23.172568"
113.387968,23.170428,天河,"113.387968,23.170428"
113.387968,23.170428,天河,"113.387968,23.170428"
113.387968,23.170428,天河,"113.387968,23.170428"
113.404239,23.159646,天河,"113.404239,23.159646"
113.410013,23.161367,天河,"113.410013,23.161367"
113.390131,23.168577,天河,"113.390131,23.168577"
113.39233,23.168708,天河,"113.39233,23.168708"
113.385059,23.173436,天河,"113.385059,23.173436"
113.391074,23.167802,天河,"113.391074,23.167802"
