longitude,latitude,dist,latlon
121.447527,31.233262,静安,"121.447527,31.233262"
121.436447,31.237743,静安,"121.436447,31.237743"
121.4490925,31.23432274,静安,"121.4490925,31.23432274"
121.438672,31.233619,静安,"121.438672,31.233619"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.442659,31.237976,静安,"121.442659,31.237976"
121.442637,31.230688,静安,"121.442637,31.230688"
121.444049,31.236724,静安,"121.444049,31.236724"
121.436447,31.237743,静安,"121.436447,31.237743"
121.438112,31.232197,静安,"121.438112,31.232197"
121.443697,31.241805,静安,"121.443697,31.241805"
121.442637,31.230688,静安,"121.442637,31.230688"
121.439158,31.239011,静安,"121.439158,31.239011"
121.439158,31.239011,静安,"121.439158,31.239011"
121.439158,31.239011,静安,"121.439158,31.239011"
121.436447,31.237743,静安,"121.436447,31.237743"
121.439158,31.239011,静安,"121.439158,31.239011"
121.4490925,31.23432274,静安,"121.4490925,31.23432274"
121.444933,31.239275,静安,"121.444933,31.239275"
121.436447,31.237743,静安,"121.436447,31.237743"
121.436759,31.232562,静安,"121.436759,31.232562"
121.437043,31.234947,静安,"121.437043,31.234947"
121.437043,31.234947,静安,"121.437043,31.234947"
121.436447,31.237743,静安,"121.436447,31.237743"
121.4414775,31.23988403,静安,"121.4414775,31.23988403"
121.4443161,31.23485492,静安,"121.4443161,31.23485492"
121.43583,31.234041,静安,"121.43583,31.234041"
121.442637,31.230688,静安,"121.442637,31.230688"
121.439191,31.237194,静安,"121.439191,31.237194"
121.436447,31.237743,静安,"121.436447,31.237743"
121.436447,31.237743,静安,"121.436447,31.237743"
121.436447,31.237743,静安,"121.436447,31.237743"
121.445138,31.235518,静安,"121.445138,31.235518"
121.447527,31.233262,静安,"121.447527,31.233262"
121.436447,31.237743,静安,"121.436447,31.237743"
121.443697,31.241805,静安,"121.443697,31.241805"
121.438021,31.241187,静安,"121.438021,31.241187"
121.4465497,31.23709029,静安,"121.4465497,31.23709029"
121.444049,31.236724,静安,"121.444049,31.236724"
121.44589,31.232748,静安,"121.44589,31.232748"
121.436447,31.237743,静安,"121.436447,31.237743"
121.447527,31.233262,静安,"121.447527,31.233262"
121.445138,31.235518,静安,"121.445138,31.235518"
